# WordCount Map-Reduce con threads
# Archivo: C:\Users\Cris\Desktop\Proyectos\big data\New folder\archivo_20gb.txt
# Threads: 16
# Inicio:  2025-08-20 13:19:32
# Fin:     2025-08-20 13:46:51
# Duración (s): 1639.64(27min)
# Total de palabras: 2947974936
# Palabras distintas: 3276
# ---- palabra	conteo ----
espacio.	538084
Mitad	540307
diario.	539029
dan.	542817
Mirada	539711
número.	539799
quizá.	541711
modelo	1873330
aspectos.	536988
director.	538013
Problema	537683
Dios	542413
Investigación	531754
mayores.	537769
cómo.	542108
Instituciones	530318
menos.	540389
como	1879783
tenían.	539786
Nuevo	540281
Enfermedad	533682
izquierda.	536323
Eran	541928
ninguna.	538124
nueva	1874497
padre.	540241
puedo	1876731
Yo	543315
Ley	543458
peso.	541438
trabajo	1867598
hijos	1878522
siguiente.	536524
cinco	1876480
no.	542527
Adelante	536934
Políticas	535334
Nadie	541213
pueda	1877635
Viejo	540587
da	1889155
flores	1872463
Alguien	538611
haber	1875610
fue	1885162
ni.	542518
Tampoco	537599
ya	1886084
salir	1876971
consecuencia.	531789
congreso	1865585
Enero	540839
nuestras	1862206
sociales.	535509
Efectos	537673
administración	1839063
imágenes.	536949
existencia	1853943
siquiera.	535663
Aquí	541724
Tales	539720
por.	543463
cuestión.	538227
Tan	543577
vista.	539526
paciente.	536363
Espacio	537862
Desde	542005
torno	1876866
varias	1873076
agua.	540702
efecto	1870985
mesa.	540791
Diversos	537460
viaje.	539689
pesetas	1867374
piel	1882114
aquellos.	536626
valor	1877866
Principal	534986
tribunal	1863330
gente	1876551
saber.	539302
Cuerpo	539417
grande.	538803
Ministro	537139
particular.	534516
Vamos	539752
Aquel	539536
creación	1863976
Mayo	541463
dirección	1862208
grado.	541539
Sin	544033
toda	1879501
figura.	538309
seguro.	539910
ocho.	541563
sólo.	541139
Boca	541350
sino.	540719
Administración	529149
universidad	1849183
Máximo	538780
para.	541184
fue.	541963
Metros	538532
nosotros.	536432
mejores.	537569
estado.	538605
Éste	540850
Cómo	541495
tan	1884718
o.	544603
Victoria	535723
Les	542858
asunto	1872757
jefe	1882994
dolor.	539552
oficial	1870335
historia.	537526
Antes	540346
gran	1882771
yo.	543074
los	1886013
resulta.	537833
policía	1867688
comercio.	537217
fin.	542327
Voz	542166
revolución.	533529
objetivo.	537209
Ante	541798
arriba.	538845
voluntad.	534616
Dirección	535172
presidente.	534264
Comunidad	535005
gonzález.	537022
prensa	1873702
Lo	543876
voy.	541497
Ambos	539851
tendrá.	538265
soy.	542318
Soy	542189
Acto	540773
blanco	1875272
Comercio	536670
camino.	538708
Buen	541583
cuando.	539814
Fuera	539172
Sociedad	536343
Período	538005
reunión	1867074
Curso	540257
control.	539103
podrá.	539189
pregunta	1863857
encuentran	1854976
Otras	539648
particular	1855521
lucha.	539104
valores.	537924
Ayuda	539844
martín.	538691
Central	538093
Buscar	539732
proyectos.	535855
partes	1870141
española.	537175
Doctor	540584
miedo.	541498
Modelo	538696
época	1873694
escuela.	538078
mercado.	538986
función.	538051
Zona	541654
programa.	536899
Grande	539688
sigue.	539480
Jorge	540574
embargo.	538566
España	539353
Justicia	535115
españoles	1857822
vuelta.	538944
Mil	541975
d	1892886
precio.	538681
Jefe	543823
diversas.	537053
importancia	1850814
Pp	543102
líder.	540606
Dice	542013
Vía	541706
vio.	541762
Dejó	541211
mientras.	535982
Hace	541372
Largo	541365
Gran	540821
Personal	536935
eso	1884531
prensa.	539234
Dos	541911
centros	1867637
adelante.	535967
Relaciones	534302
Edad	541456
otros.	540561
Campo	539406
n.	546107
permite.	538935
ella	1879950
tribunal.	538255
nuevo	1873834
Visto	541436
pueden.	538660
Niño	540964
todo	1879190
lo.	543331
importancia.	533275
Allí	541628
Nunca	540383
Época	539761
actitud	1864197
antonio.	538843
santa	1875083
puesto.	539335
diferentes.	533946
Mis	540239
Niños	539744
siempre	1869113
qué.	541427
Ver	542206
Muy	543093
Medio	539937
sobre.	539912
ninguna	1867850
Anterior	537699
intereses	1859261
propuesta.	535598
Derecha	536911
salida.	539207
Final	540185
primera.	537766
Niveles	537270
servicio.	536370
ambos.	539707
Seguro	539074
manuel	1874532
oro.	542268
Estaba	539403
Salir	540406
corte	1877814
Técnica	537649
formación	1860631
caso.	540556
G	545750
Universidad	533331
podía.	540925
méxico.	539541
Sean	540584
Marcha	539292
solución.	536635
Siguientes	534323
contra.	539375
Causa	540555
segundo.	537169
políticos.	536239
dios	1880157
Democracia	534953
Nacional	535556
Civil	539507
Tipos	540905
b	1893306
superior.	536953
Sé	544347
Mundo	540227
ver.	542706
Apenas	539342
Como	541311
joven.	539408
Pueden	539032
equipo.	538911
ser	1883763
Padre	540094
estilo.	539747
Luis	540647
Mucha	539533
Elementos	535436
Proyecto	536510
música.	539781
tendrá	1871708
aparece.	538952
Caso	540682
lejos.	541045
análisis.	536599
natural.	537930
cierto	1873144
quiere.	537972
En	543180
ahí.	542373
Carlos	539612
Podrá	541172
primer.	539312
Paciente	535557
larga.	540213
Pueda	540758
diario	1871034
origen.	539093
Visita	538814
Área	542056
participación.	530085
comisión.	537797
Juicio	538545
Algo	540217
torno.	539773
Los	544232
i.	543870
Hijo	542267
aquellas.	536232
Uno	542647
hubo.	542040
decía.	540495
vivir.	539827
todo.	542412
Industria	535248
banco.	540429
perdido.	537816
Asociación	533525
Producción	534227
Sistema	536803
Producto	536127
estos.	540375
tarde.	541522
Punto	540329
económico.	534795
Volvió	539611
General	538133
Piel	541517
casos.	540565
autor.	539959
Vez	542621
cosa.	541497
este.	541494
modo.	542007
Palabras	535562
Izquierda	534935
Mejores	537769
mediante.	536546
Su	545437
desde.	540181
Todo	543082
siete.	539838
Volver	539754
Incluso	537074
baja	1882761
pp.	543054
María	540602
nos	1885031
rafael.	539726
su	1889919
ciencia.	538209
Aquella	537707
muchos.	538890
Gente	539336
hubiera.	536781
última	1870955
varias.	538441
Especial	537134
boca.	542065
Familia	537854
centro	1872658
Voluntad	538232
lópez.	538963
Medida	538493
Papel	539673
Jamás	539692
soy	1886277
me.	544984
aquella.	538047
tierra.	539311
Hacía	540980
vez.	542394
ley.	543469
Entrar	539423
Mismos	538947
paz	1884952
Presente	536274
Nuevos	538458
hospital.	537198
Hombre	537546
cara.	540950
Línea	541201
solo.	542412
Político	536146
Cuyo	541152
entonces.	535847
sueño	1875481
actividad.	535901
Ve	543259
diciembre.	536186
salud.	540247
haciendo.	536917
Cara	540701
concepto	1864689
consejo.	536966
armas	1878657
Luego	540827
instituciones.	530637
generales.	536231
Consecuencia	532224
así.	542603
Ellas	539890
incluso.	537714
le.	544393
Realidad	535909
Poder	541432
Organización	531848
diferencia.	534602
obstante.	537394
Natural	536331
sectores.	537111
Cual	541360
Junto	540261
campo.	540026
marco.	541215
ser.	542877
Aspecto	538842
Fuerte	537848
Sabía	539904
humano.	539379
claro	1876545
suficiente.	535338
Dónde	539683
dónde.	539955
I	546169
Teoría	538562
Trabajadores	531732
europa.	539186
Podemos	537248
estar.	541067
tomar	1876428
Interés	536930
Información	533071
hizo.	540777
personas.	537204
Tiempo	537964
desarrollo.	534045
valores	1867932
formación.	535554
Defensa	536988
vino.	541436
Artículo	536247
pequeño.	539022
secretario.	534200
Paso	540764
Estudio	536815
apoyo.	539445
Unidad	538870
Cabeza	538615
dice.	541297
servicios.	535845
obras.	538744
Trata	540233
negro.	538646
Realizar	536370
enfermedad	1852230
Puso	541431
Afirmó	539043
Cuarto	540037
seguridad.	535028
ve.	545454
Sobre	540018
haciendo	1864183
necesidad.	534540
Resulta	538187
seguir.	540077
país.	541507
Resultado	535821
proceso.	537279
plazo.	540358
Destino	537799
precios	1866461
américa.	538589
Ciento	538473
Tú	542503
bajo.	541035
Mi	544777
niveles.	537004
aquí.	541725
Últimos	536048
niño.	540828
Larga	540598
Tenía	539811
amigo.	539774
Habría	538930
nueva.	541015
Actividad	535977
Creo	541129
Casos	540795
especialmente.	531738
atención.	538333
Día	542889
josé.	542472
Podía	540574
aquí	1880384
unas.	541168
color	1876835
hay.	541805
J	545362
primeras.	535625
Noviembre	535982
les.	543007
Ii	544295
movimiento	1854805
juego.	540646
Año	544663
ante	1879659
imposible.	535129
Ciudad	537769
piel.	540009
Policía	538190
bastante.	536812
Términos	536544
participación	1844617
llegado.	538267
carne.	539653
Animales	536613
diversos.	537932
medio	1876617
mundo.	540900
Sector	538481
temas.	539996
quienes.	538542
Pasar	538990
producción.	533834
Cambio	537779
Principales	533809
Cabo	541268
iba.	543364
Diciembre	535057
cabo.	540201
Días	539652
Actual	540070
señora.	538383
u.	546528
dejar.	539942
Pesetas	537480
Base	540414
Siquiera	535684
una	1887636
naturaleza.	534171
mismo	1874404
región	1872447
fuentes.	537815
cuatro.	538864
El	544007
través.	539338
Sola	542290
general.	538053
Cultura	537969
Pronto	539943
busca.	540388
hemos.	539639
meses.	540324
Director	537000
Llamado	538111
Fuego	540974
Éxito	539625
Popular	538285
países.	538102
Existencia	534218
Aquellas	535127
O	545344
Posibilidades	531577
común.	540608
próximo.	537570
haber.	540467
otra.	541517
Cuales	538989
Dicho	541514
Barcelona	535839
duda.	541512
amigo	1875606
compañía	1866432
españoles.	534696
Arte	540742
un.	543942
mantener.	538021
Aparece	537898
Un	542375
capacidad.	534869
sé.	542779
alguna.	538721
carta.	541353
algo	1878614
civil.	538921
suerte.	538573
Más	541762
Hijos	539815
Ésta	541607
Vuelta	537758
esfuerzo.	536836
Imposible	535720
Porque	537106
objeto.	539049
asimismo.	536672
Población	534691
personal.	534932
Posible	538175
cantidad.	536888
Alguna	537378
claro.	539716
Estudios	536381
ciento.	539504
Opinión	537226
Noche	541004
empresa.	537749
Proceso	537149
nivel.	541587
médico.	538395
idea.	542046
destino	1864680
edad.	541972
Sus	542905
mujeres.	537735
mira.	540771
Generales	534911
exterior.	538044
Mujeres	538639
siendo.	537244
menos	1879759
Tendrá	538294
elementos.	534812
Humano	538773
Puerto	538673
dicen.	539530
Bien	541973
Ellos	540840
Todos	539343
grande	1871081
Lenguaje	535442
fuerzas.	538060
Social	539650
pueblo.	539230
Interior	536200
ellos	1876209
fácil.	539652
según.	540457
Señora	539346
sí.	545072
Autor	539350
españa.	538039
Centro	538622
tampoco.	537423
primero.	538284
Jóvenes	537828
partido.	538097
Historia	538509
Mesa	541028
Comunicación	532216
Experiencia	533145
Serie	540500
te	1887445
Futuro	538479
propios.	538607
dejó.	541118
Material	536226
mucho.	540774
sueño.	539697
flores.	539885
Sueño	541041
voz.	540905
Cargo	540725
frente.	538238
futuro.	539810
Vio	542328
popular.	537549
Espera	540020
nuestro	1868172
ningún.	538248
Partido	537889
existen.	538053
Aún	543007
quedó.	540643
Campaña	537782
realidad.	537146
Comenzó	538219
puede.	538919
condiciones.	533782
características	1834033
Menor	538860
compañía.	537015
Siglo	540396
Lleva	539767
Ni	544305
Propuesta	534889
Quien	539540
metros.	538328
constitución.	531195
Puede	541620
verdad.	539200
Grado	541116
Hizo	540628
mil.	542186
Plaza	541945
Solo	540178
Precio	539419
sí	1889250
haya.	542486
Único	542415
llevar.	539678
siempre.	537803
pesar.	541067
Ocasiones	535425
contrario.	535959
Esa	543308
sala.	541994
Situación	534173
han.	544245
enero.	540986
Total	539709
necesario.	535649
Económico	535010
cada.	540858
Partir	538417
electoral.	536568
Tipo	541908
alrededor.	533654
Dijo	541868
Título	538153
Objetivo	536614
Posición	537017
artículo.	537020
Actividades	534395
Marzo	540373
doctor.	538924
Parecía	538013
principales.	532656
Productos	535497
además.	539736
hecho.	539890
conseguir.	536073
manos.	539883
espera.	538168
Ciencia	538647
familia.	538822
queda.	540014
vida.	540852
Razones	538060
poner.	540017
Diario	539433
régimen.	538028
dólares.	536140
presencia.	534486
Cine	542787
Lucha	540931
políticas.	535423
Siendo	539927
Hechos	539175
Decir	539771
Empresa	537647
Argentina	536137
de.	542668
construcción.	532411
mundial.	537737
Nos	541770
Oposición	535946
etc.	542615
Frente	539376
otras.	539648
Hacer	538755
libertad	1863626
experiencia.	532536
van.	543587
años.	540296
Produce	537296
deseo	1876200
nadie.	539667
comunidad.	535607
Entre	540189
Millones	536427
trabajar.	536430
grupo.	541017
Mayor	540772
todos.	540864
acciones.	537717
cine	1882488
eran.	539753
profesional.	533680
Arriba	538266
puntos.	539559
muerto.	539010
Carácter	536876
producto.	536032
concepto.	537183
Imagen	539841
pese.	541755
Relación	535750
Película	537193
muy.	543257
Cosas	539897
Será	542054
posibilidad.	534220
sentido.	539180
Apoyo	541056
Pie	541888
administración.	529175
Unos	540661
maría.	541363
Sí	543118
Momento	536885
Hija	541268
Rafael	538017
volver.	538666
atrás.	539135
Cada	541564
intereses.	534902
sola.	542550
consumo.	536861
posible.	538073
Bajo	542798
sean.	540275
será.	540380
ciudad.	539915
Padres	538002
Horas	540441
pública	1867901
Nuestra	538158
es.	543758
Además	537628
arte.	539427
Ninguna	538725
encuentra.	535259
Varios	539723
Fueron	539524
Atención	536522
Tema	541136
Tuvo	541107
hace.	541588
la.	545267
Seguir	539138
felipe.	540229
dinero.	537792
Debido	538710
diferentes	1855161
Permite	538621
Socialista	533940
Médico	538798
toma.	541046
Manera	538892
base.	541127
visita.	539692
lado.	542717
creo.	542413
Elecciones	532289
Meses	540954
campaña.	537064
Manuel	540497
Económica	535557
ese	1884150
pie.	541587
existencia.	534821
Orden	541020
Tras	542555
libros.	538441
usted.	539794
aun.	543879
Banco	540728
tanto.	539335
Llegar	539941
sus.	542203
Puedo	539409
Especie	538380
educación.	535642
animales.	536511
Llegó	539720
Etc	541834
fueron.	537833
igual.	541744
Tratamiento	532824
Psoe	541341
Hacen	540387
Música	537217
causa.	541029
derecha.	536944
Puesto	539524
pública.	537240
Trabajo	536524
Nuestro	538088
al.	544496
Martín	540434
datos.	539712
Principios	534259
Diez	541443
río.	543066
Mayoría	537612
universidad.	533447
Sería	540803
estudios.	537363
Construcción	531561
posición.	536815
único.	540671
Hicieron	535977
amor.	540781
ejército.	537961
Habían	539199
Vida	542303
Luz	542919
Otro	541275
ello.	540411
Misma	540498
está.	542096
Demás	540107
Difícil	537689
Cámara	538988
Pese	542660
barcelona.	536500
sistema.	538153
victoria.	537482
también.	537712
Quería	538605
éxito.	539391
Buenos	539657
Mayores	538633
s.	544696
Va	544792
Derechos	536463
a.	544129
Octubre	537925
Cuenta	538311
con.	542539
Dinero	539046
éste.	540984
México	539324
comenzó.	538700
Ir	544176
Salida	538558
Cuya	539533
Quiero	539366
buena.	540094
Mujer	540777
Chile	539298
se.	543108
mí.	543949
Autoridades	531988
asunto.	539277
psoe.	541645
Embargo	538885
Domingo	537758
Última	539301
Dio	543026
Y	543663
Prensa	538407
una.	542954
hijo.	541215
cuanto.	538841
había.	542704
demasiado.	534044
Servicios	534620
valor.	540912
Estilo	538319
Van	542851
Algún	539469
amigos.	539092
va.	543514
afirmó.	540093
sido.	542968
Fernando	536501
Estuvo	540056
Europea	537680
puerta.	540134
realizar.	536378
Empresas	536884
acto.	541467
Fue	542299
medio.	539483
Fecha	540824
informe.	537341
dios.	541556
quién.	540786
teatro.	538544
hermano.	537895
uno.	542260
estas.	540772
Primera	538248
jóvenes.	537198
Pacientes	535013
armas.	541334
pacientes.	535677
Nuestros	536674
jamás.	540140
Particular	534643
Explicó	536591
características.	528485
niños.	539728
Consumo	537413
Lado	541069
Esfuerzo	537086
Escuela	536644
don.	544076
Habla	540484
rosa.	541225
Importancia	534167
Casa	540643
Conocimiento	531731
clase.	540041
Semana	538933
material.	537049
especial.	537687
Son	543006
Dan	542713
Necesidad	534509
Hubiera	538827
Cuadro	539342
noviembre.	536055
obra.	542233
b.	544581
Creación	538490
efectos.	537312
Programa	536183
blanca.	538524
hijos.	540935
cosas.	540075
Blanca	538950
Cierta	538455
Real	540905
Medios	537428
año.	544256
menor.	540048
Aquellos	536318
Aspectos	536533
otro.	540985
Río	542401
encuentran.	534203
Carne	541020
instituto.	536191
Sentido	538015
Equipo	540551
Ahí	541737
nos.	541939
cualquier.	534607
Semanas	537075
Radio	540878
problemas.	534377
Hasta	541573
Siete	541121
Llega	538483
militares.	535068
posibilidades.	530608
Control	536561
Oro	543096
práctica.	537421
grandes.	537893
Evitar	539985
Sociales	537282
y.	544657
Imágenes	536409
interés.	537848
cuadro.	538422
Figura	538686
Ella	541992
recursos.	536636
Fiscal	539313
dirección.	534934
Pudo	541124
Mano	541818
tu.	543588
S	544914
Corazón	538498
Militares	535614
nuestros.	536121
luis.	542371
c.	546431
bien.	542974
Profesional	533156
Cuanto	539860
creación.	536938
viene.	540679
local.	539542
Él	543434
Principio	537235
Carrera	538011
visto.	541248
ministro.	537345
Cinco	540928
Seis	542231
República	535102
defensa.	535828
Importante	534033
Marco	539856
cuenta.	537937
Considera	535378
región.	536647
Flores	540012
policía.	539009
encima.	540920
medidas.	537632
mismo.	540806
Precios	537198
Rodríguez	535728
película.	536939
r.	544565
Memoria	538338
pequeña.	538486
investigación.	531530
Nivel	540728
nunca.	541375
Siguiente	535705
volvió.	538398
Cuando	539224
Calidad	538239
j.	544912
Nuevas	539048
cabeza.	538398
hacía.	539811
ella.	540816
mar.	542126
Da	544479
decisión.	537546
su.	543753
mejor.	540323
contenido.	535582
tras.	541981
Mientras	536590
pocos.	539800
energía.	538135
noche.	540668
Supuesto	535368
Vivir	539504
estaba.	539128
Fuerza	539390
manuel.	538725
Hermano	537635
considera.	535098
Por	543118
Joven	540107
mitad.	541655
pudo.	541192
muestra.	538457
Cuestión	535468
ese.	541944
algunos.	536633
Pública	538372
Televisión	534972
él.	544567
Todas	539513
alta.	542410
Política	535960
aire.	542546
primeros.	537782
área.	541205
Todavía	537797
como.	540854
Función	536026
América	539035
era.	543238
Origen	538402
Peor	542043
salir.	539900
Suficiente	533524
Público	538204
lleva.	540323
Bastante	536619
última.	539731
lenguaje.	535524
pasa.	540709
Toda	542825
hablar.	539240
C	544902
Resultados	533527
Encuentro	536379
estamos.	537000
deja.	539773
curso.	538431
partir.	537834
político.	535709
derecho.	538095
Humana	539256
programas.	535130
quer	1
ía.	1
señ	1
ora	1
atenci	1
ón.	2
Ci	1
udad	1
nue	2
vos	1
administra	1
ción	1
cciones	1
futur	1
jó.	1
lectoral	1
rimer	1
ra	2
zón	1
Democrac	1
ia	2
nía	1
hech	1
Di	1
Vi	1
aje	1
llev	1
ar	1
ta	1
sect	1
ores	2
produc	1
Espa	1
ñola	1
t	3
ipo.	1
aja	1
nimales	1
mos	2
ido	1
últim	1
est	3
amos	2
.	11
adrid	1
pro	2
duce	1
clar	1
impos	1
ible	1
ean	1
pinión	1
ribunal	1
educ	1
ación	1
lencio.	1
istintos	1
xto.	1
atenció	1
fran	1
cia.	1
libe	1
rtad	1
Octub	1
re	1
ot	2
ro	2
Pen	1
sar	1
mercad	1
afi	1
rmó.	1
otr	1
as.	1
omercio	1
conjun	1
to	1
capacida	1
info	1
rme	1
natura	1
l	3
egión	1
Caracterís	1
ticas	2
urante.	1
enfermed	1
ad	2
endo	1
algun	1
os	3
exis	1
tencia	1
oda.	1
operaci	1
ón	1
Cienc	1
vo	1
pl	1
azo	2
hum	1
ano.	1
cal	1
idad	1
Cualqui	1
er	2
últi	1
viole	1
ncia	1
Pl	1
artido	1
tier	1
blemas	1
par	1
ís.	1
Po	1
líticos	1
lleg	1
ado.	1
inte	1
rés	1
realid	1
españ	2
ola.	1
deb	2
Hor	1
segu	1
ndo	1
éxico	1
Minuto	1
aque	1
llos	1
hac	1
di	1
ce.	1
trar	1
tor	1
parti	1
antener.	1
Ag	1
ua	1
dud	1
ecesidad	1
ólo	1
Peque	1
ña	1
emoria	1
igua	1
ros.	1
militare	1
ci	1
vil	1
flor	1
val	1
or.	1
esp	1
añol	1
smo	1
neces	1
ario	1
lamado.	1
ecisión	1
Q	1
uienes	1
mie	1
ntras	1
po	1
rque	1
ño	1
Em	1
bargo	1
desarrol	1
cuentro.	1
eptiembre	1
ejérci	1
to.	1
Diferente	1
v	2
ictoria.	1
omunidad	1
sa	2
imposi	1
ble	1
reunió	1
Cono	1
cer	1
Am	1
igo	1
princ	1
ipios.	1
tie	1
mpo	1
Ge	1
neral	1
ma	1
yoría	1
much	2
materi	1
Recur	1
sos	1
rado	1
cin	1
co	1
cor	1
elector	1
Líd	1
emp	1
resas	1
especialment	2
habrí	1
alr	1
ededor	1
cart	1
nivele	1
siguie	1
ntes	1
program	1
dó	1
lares.	1
uicio.	1
vec	1
cuer	1
po.	1
Res	1
ultados	1
Hac	1
Ambie	1
nte	1
libr	1
fernand	1
tod	1
avía	1
li	1
bro	1
mater	1
ial	1
rie	1
Mejore	1
ncontrar	1
q	1
uiero	1
esc	1
uela	1
juni	1
sab	1
razon	1
fl	1
ant	1
onio.	1
pr	1
esencia.	1
áre	1
ola	1
L	1
uis	1
cen	1
erca	1
Acti	1
vidades	1
lgo	1
caracterís	1
na	1
die	1
nformación.	1
rograma	1
nisterio	1
Posibili	1
dades	1
blan	1
ca	1
dif	1
erencia	1
izqui	1
erda.	1
cuesti	1
padr	1
consegu	1
cau	1
oz	1


